StudentID,Gender,City,CollegeTier,Stream,Specialisation,Hostel,HistoryOfBacklogs,SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,SGPA_Sem5,SGPA_Sem6,SGPA_Sem7,SGPA_Sem8,CGPA,AttendancePercent,Internships,Projects,Workshops,Certifications,Publications,AptitudeTestScore,SoftSkillsRating,CodingTestScore,MockInterviewScore,ExtraCurricular,CGPA_Tier,PlacementStatus,IsAnomaly
12522,Male,Jaipur,Tier2,EE,Networking,No,No,7.06,6.49,6.91,6.82,6.66,6.43,6.11,6.75,6.65,65.4,0,0,2.0,1,0,50.5,5.82,47.1,58.3,No,Medium,0,0
12523,Female,Pune,Tier2,Civil,Embedded,Yes,No,8.41,7.12,7.49,7.59,7.54,7.68,8.01,8.36,7.78,82.4,2,4,2.0,3,0,72.8,7.38,58.7,69.3,Yes,High,0,1
12524,Male,Delhi,Tier2,CS,AI,Yes,No,5.8,5.58,5.68,5.54,5.78,6.05,5.82,6.25,5.81,69.2,0,0,0.0,0,0,35.4,,31.5,46.4,No,Low,0,0
12525,Female,Chennai,Tier2,ECE,AI,Yes,No,7.72,7.63,7.68,7.72,8.15,7.6,7.5,8.05,7.76,77.8,1,2,3.0,3,0,73.8,7.22,77.4,71.1,No,High,1,0
12526,Male,Jaipur,Tier2,Mechanical,AI,Yes,No,8.22,7.7,8.28,8.15,8.07,8.0,7.99,8.01,8.05,79.7,1,3,5.0,3,0,73.4,7.93,71.3,74.7,No,High,1,0
12527,Female,Chennai,Tier2,CS,AI,No,No,9.95,9.97,9.95,9.27,9.28,9.9,9.93,9.64,9.74,99.4,4,5,4.0,5,1,100.0,10.0,100.0,95.9,Yes,Excellent,1,0
12528,Male,Hyderabad,Tier2,IT,Networking,No,No,8.77,8.75,8.93,8.9,8.62,9.33,9.12,9.19,8.95,96.1,2,4,3.0,6,1,,8.83,91.1,87.4,Yes,Excellent,1,0
12529,Female,Ahmedabad,Tier2,Mechanical,DataScience,No,No,9.56,9.42,9.87,10.0,9.16,10.0,10.0,9.69,9.71,98.2,4,6,4.0,6,2,100.0,10.0,,88.2,No,Excellent,1,0
12530,Male,Bangalore,Tier3,EE,Networking,No,No,7.52,7.63,7.56,7.4,7.25,7.2,7.77,7.2,7.44,67.1,1,3,,3,0,70.7,5.5,77.3,69.5,Yes,Medium,0,0
12531,Male,Kolkata,Tier2,CS,Embedded,No,No,7.46,8.33,7.69,7.92,8.1,8.4,8.02,8.51,8.05,79.9,2,5,,5,1,81.3,7.76,76.2,78.5,Yes,High,0,0
12532,Male,Delhi,Tier2,ECE,DataScience,No,No,5.47,6.06,5.8,6.24,5.85,6.28,6.08,6.37,6.02,71.8,0,0,0.0,0,0,44.9,4.9,32.9,51.7,No,Medium,0,0
12533,Male,Chennai,Tier3,IT,DataScience,Yes,No,6.64,6.65,6.78,7.24,7.52,6.98,7.04,7.76,7.08,69.9,2,2,2.0,3,0,52.9,5.98,56.9,60.6,Yes,Medium,1,0
12534,Male,Chennai,Tier2,Civil,Embedded,No,No,6.98,7.02,7.27,7.09,7.6,6.69,7.01,7.9,7.19,79.6,1,2,3.0,2,0,71.8,8.29,54.1,67.8,No,Medium,1,0
12535,Male,Hyderabad,Tier2,IT,DataScience,No,Yes,6.36,6.44,6.59,6.82,7.21,7.13,6.62,6.35,6.69,70.4,0,1,2.0,1,0,65.2,5.51,52.9,49.1,No,Medium,0,0
12536,Female,Kolkata,Tier2,EE,AI,Yes,Yes,5.51,6.45,6.42,6.17,6.27,5.92,5.94,7.09,6.22,55.6,1,2,1.0,2,0,53.1,5.61,59.8,49.8,No,Medium,1,0
12537,Male,Hyderabad,Tier2,ECE,AI,No,No,5.71,6.32,6.27,5.95,6.01,6.06,6.14,6.08,6.07,58.2,0,2,0.0,2,0,44.6,5.03,40.7,41.9,Yes,Medium,0,0
12538,Male,Pune,Tier3,CS,Networking,No,No,7.4,7.45,8.32,7.68,7.82,8.09,7.86,8.11,7.84,80.8,2,4,3.0,3,1,75.7,7.69,64.5,77.9,Yes,High,0,0
12539,Female,Hyderabad,Tier3,IT,Networking,No,No,5.55,5.09,5.5,4.74,4.68,5.38,5.28,6.05,5.28,49.9,0,0,0.0,0,0,33.5,3.35,9.2,,Yes,Low,0,0
12540,Female,Jaipur,Tier2,Civil,AI,No,Yes,7.1,7.43,7.59,7.37,7.75,7.85,7.11,7.59,7.47,74.1,1,3,,2,0,62.1,5.7,65.8,66.8,Yes,Medium,1,0
12541,Male,Delhi,Tier1,CS,Networking,No,No,6.85,6.68,7.28,7.31,6.93,7.77,7.1,7.02,7.12,71.9,1,3,1.0,1,1,78.1,6.62,50.6,65.8,No,Medium,0,0
12542,Male,Pune,Tier2,IT,Embedded,No,Yes,8.91,8.96,8.18,8.59,8.81,8.99,8.12,8.97,8.69,94.2,3,4,,5,1,,,82.9,89.2,No,Excellent,1,0
12543,Male,Bangalore,Tier2,ECE,Networking,No,No,7.56,8.65,8.02,7.38,7.93,7.98,8.12,7.7,7.92,83.7,1,3,3.0,2,2,,9.05,68.5,72.0,Yes,High,1,0
12544,Male,Mumbai,Tier1,CS,AI,No,No,7.28,7.4,7.24,6.86,6.97,7.42,7.76,7.5,7.3,68.4,1,4,1.0,3,1,76.0,6.31,67.5,71.3,No,Medium,1,0
12545,Male,Delhi,Tier2,ECE,DataScience,Yes,No,7.38,7.24,7.09,7.76,8.37,7.98,7.81,7.61,7.65,80.4,1,4,2.0,3,1,68.8,6.66,74.3,,Yes,High,1,0
12546,Female,Pune,Tier3,CS,Networking,No,No,8.45,8.17,8.33,7.82,8.43,8.56,8.83,8.34,8.37,84.1,3,4,4.0,4,1,82.8,8.05,79.5,74.6,No,High,1,0
12547,Female,Hyderabad,Tier2,EE,AI,Yes,No,7.81,7.2,7.83,7.34,7.66,7.63,6.94,7.2,7.45,82.9,1,4,2.0,4,0,64.6,6.53,57.5,70.4,No,Medium,1,0
12548,Male,Pune,Tier1,Mechanical,Networking,No,No,7.16,7.95,7.12,6.89,7.85,7.86,7.32,7.61,7.47,84.2,2,4,3.0,1,1,61.7,6.79,80.1,71.8,No,Medium,1,0
12549,Male,Mumbai,Tier1,Mechanical,AI,No,No,7.78,6.94,7.59,7.25,7.87,7.11,7.18,7.03,7.34,75.0,3,2,2.0,2,1,70.8,6.34,62.4,67.6,No,Medium,1,0
12550,Male,Hyderabad,Tier2,CS,Embedded,No,No,8.76,8.54,8.68,8.21,8.05,8.35,8.31,8.45,8.42,93.6,3,4,3.0,4,1,90.2,7.34,80.1,82.7,Yes,High,1,0
12551,Male,Jaipur,Tier1,EE,Embedded,No,No,5.69,5.74,6.38,6.41,5.96,6.22,6.62,6.36,6.17,68.7,0,1,0.0,0,1,51.3,4.49,37.9,37.7,No,Medium,0,0
12552,Male,Kolkata,Tier2,CS,DataScience,No,No,8.24,7.83,8.19,8.17,8.0,8.41,7.99,8.14,8.12,80.7,1,4,3.0,3,1,78.7,7.56,75.6,68.7,Yes,High,1,0
12553,Female,Bangalore,Tier2,EE,DataScience,Yes,No,6.46,7.1,6.27,6.34,6.37,6.84,6.3,5.87,6.44,67.3,1,0,0.0,1,0,,5.66,36.8,55.6,No,Medium,0,0
12554,Male,Mumbai,Tier2,Mechanical,AI,Yes,Yes,8.97,9.25,8.9,8.76,8.94,9.04,8.29,8.82,8.87,92.4,2,4,5.0,5,2,80.0,9.49,94.5,92.0,No,Excellent,1,0
12555,Female,Jaipur,Tier2,ECE,DataScience,No,No,6.98,7.17,7.28,7.37,6.9,6.93,7.54,7.31,7.18,80.8,1,3,4.0,2,1,67.9,6.36,55.6,60.1,Yes,Medium,1,0
12556,Male,Jaipur,Tier2,EE,DataScience,Yes,No,6.59,6.21,5.66,6.1,6.05,6.64,7.21,6.85,6.41,70.5,1,1,1.0,2,0,52.0,4.99,48.0,55.2,No,Medium,0,0
12557,Male,Pune,Tier2,CS,AI,No,No,7.49,6.59,7.63,6.74,7.15,7.13,6.9,7.07,7.09,71.9,1,4,3.0,1,0,63.9,5.99,56.0,52.3,Yes,Medium,0,0
12558,Male,Pune,Tier2,IT,AI,No,No,7.64,7.62,7.28,7.53,8.15,7.9,8.11,8.39,7.83,79.4,0,3,1.0,1,0,63.0,6.91,66.7,73.1,No,High,1,0
12559,Female,Hyderabad,Tier2,Mechanical,DataScience,Yes,Yes,6.61,6.7,6.39,6.42,6.13,6.62,6.49,6.52,6.48,66.8,1,2,,0,0,53.8,5.27,40.2,57.9,Yes,Medium,0,0
12560,Male,Jaipur,Tier2,CS,DataScience,No,Yes,7.54,7.32,8.24,7.51,7.48,7.4,7.55,8.08,7.64,76.3,1,2,3.0,3,1,76.3,7.07,65.7,,No,High,0,0
12561,Male,Jaipur,Tier2,EE,AI,No,Yes,10.0,10.0,9.95,10.0,10.0,10.0,10.0,10.0,9.99,100.0,4,5,4.0,7,2,100.0,10.0,,100.0,No,Excellent,1,0
12562,Male,Delhi,Tier2,Mechanical,DataScience,No,Yes,7.93,7.42,7.86,8.52,8.6,8.21,8.77,8.81,8.26,85.7,2,3,4.0,4,1,,7.84,,,No,High,1,0
12563,Female,Delhi,Tier2,IT,DataScience,No,No,7.31,7.04,6.63,6.98,7.06,7.33,7.72,7.9,7.25,74.1,2,2,1.0,3,0,73.1,,64.8,64.6,Yes,Medium,1,0
12564,Female,Hyderabad,Tier1,ECE,DataScience,Yes,No,5.9,5.78,5.69,6.25,5.59,5.71,5.65,5.64,5.78,54.9,0,1,0.0,1,0,34.9,,40.1,32.3,No,Low,0,0
12565,Male,Pune,Tier1,EE,DataScience,Yes,No,5.91,6.15,5.96,6.44,5.84,6.38,6.07,6.36,6.14,63.5,1,1,1.0,0,0,37.2,4.64,31.6,47.3,No,Medium,0,0
12566,Male,Mumbai,Tier2,CS,DataScience,Yes,No,8.32,7.78,8.44,8.64,8.02,8.46,8.5,8.36,8.32,88.1,1,4,2.0,4,1,92.1,8.23,89.3,82.6,No,High,1,0
12567,Male,Hyderabad,Tier3,EE,Embedded,No,Yes,8.66,8.7,8.63,7.29,8.74,7.98,8.54,8.9,8.43,79.4,2,5,3.0,4,1,91.9,8.26,88.7,70.4,No,High,1,0
12568,Male,Kolkata,Tier2,ECE,Embedded,Yes,Yes,7.28,7.72,6.96,7.52,7.7,7.28,7.92,7.84,7.53,76.6,1,5,2.0,3,1,72.5,6.21,63.4,71.0,No,High,1,0
12569,Female,Ahmedabad,Tier2,Mechanical,Networking,Yes,No,5.78,6.16,5.63,5.8,5.22,6.07,5.31,5.7,5.71,57.4,0,0,0.0,0,0,42.4,4.84,26.6,41.1,No,Low,0,1
12570,Male,Hyderabad,Tier2,IT,AI,Yes,No,6.65,6.55,6.26,6.68,6.9,6.9,7.23,6.96,6.77,76.4,1,0,0.0,2,1,57.7,6.11,49.0,70.0,Yes,Medium,0,0
12571,Female,Pune,Tier1,IT,AI,No,No,6.05,6.31,6.66,6.22,6.32,6.1,6.75,6.99,6.42,69.7,1,2,1.0,2,0,63.6,5.37,37.1,49.6,Yes,Medium,0,0
12572,Female,Pune,Tier3,EE,Networking,No,Yes,6.68,6.89,6.98,7.85,7.52,7.48,7.43,7.91,7.34,79.4,2,1,1.0,3,0,58.0,5.67,49.3,,No,Medium,1,0
12573,Female,Delhi,Tier3,EE,Embedded,Yes,No,8.45,7.1,8.19,7.93,8.23,7.36,8.23,7.51,7.87,90.2,1,4,2.0,3,1,72.2,7.76,65.1,74.8,No,High,1,0
12574,Male,Jaipur,Tier2,EE,Networking,Yes,Yes,4.04,4.77,4.29,4.0,4.66,5.31,4.23,4.46,4.47,52.1,0,0,0.0,0,0,20.6,2.48,9.7,29.0,Yes,Low,0,0
12575,Female,Jaipur,Tier1,IT,DataScience,Yes,No,5.43,4.81,4.95,5.18,5.37,4.84,5.4,6.28,5.28,62.2,0,0,0.0,0,0,33.3,3.86,28.0,39.1,No,Low,0,0
12576,Male,Mumbai,Tier3,Civil,Embedded,No,No,8.07,8.25,8.22,8.04,8.09,7.82,8.12,8.41,8.13,76.8,2,3,3.0,4,0,72.1,8.08,76.1,73.9,Yes,High,1,0
12577,Male,Ahmedabad,Tier1,IT,Embedded,Yes,No,7.81,7.47,7.1,7.34,7.13,7.6,7.61,7.39,7.43,89.8,2,4,2.0,3,1,,6.82,71.0,78.7,Yes,Medium,1,0
12578,Female,Bangalore,Tier1,IT,AI,No,No,6.71,6.66,6.16,6.63,6.54,7.12,6.8,7.22,6.73,67.3,0,3,2.0,1,0,48.1,6.92,,71.8,No,Medium,0,0
12579,Male,Kolkata,Tier2,IT,AI,No,No,6.56,6.39,6.73,6.02,6.31,6.26,6.92,7.54,6.59,65.5,2,3,1.0,2,1,63.6,5.51,,61.5,Yes,Medium,1,0
12580,Male,Pune,Tier2,CS,DataScience,Yes,No,7.62,7.74,7.69,7.32,7.69,7.12,7.19,6.8,7.4,72.7,1,2,1.0,3,0,64.3,6.28,54.6,59.1,No,Medium,1,0
12581,Male,Bangalore,Tier2,IT,DataScience,No,No,6.62,7.32,6.92,7.35,7.13,7.1,7.2,6.31,6.99,71.4,1,2,2.0,2,1,55.3,5.25,47.7,68.6,No,Medium,0,0
12582,Male,Mumbai,Tier2,CS,Embedded,Yes,No,6.42,6.63,7.46,6.26,7.31,6.48,7.14,6.62,6.79,66.1,0,2,2.0,1,0,60.1,6.42,56.2,53.9,Yes,Medium,0,0
12583,Female,Mumbai,Tier3,IT,Embedded,No,No,5.24,5.53,6.01,5.6,5.27,5.7,6.07,5.49,5.61,64.8,1,2,0.0,0,0,43.7,4.83,26.9,47.2,No,Low,0,0
12584,Female,Delhi,Tier3,IT,DataScience,No,Yes,7.65,8.26,8.53,8.91,8.59,8.67,8.7,9.07,8.55,83.1,3,5,6.0,5,1,78.1,8.61,91.2,82.6,Yes,Excellent,1,0
12585,Female,Jaipur,Tier2,CS,Networking,No,Yes,6.58,6.58,6.62,7.11,6.76,7.23,7.02,6.7,6.82,65.1,1,0,,1,0,54.0,5.67,59.3,61.5,Yes,Medium,0,0
12586,Male,Kolkata,Tier2,EE,Networking,No,No,6.92,6.6,6.93,7.08,7.42,7.45,6.97,7.69,7.13,71.1,2,3,2.0,3,0,52.5,6.08,48.3,69.1,Yes,Medium,0,0
12587,Male,Chennai,Tier3,EE,AI,Yes,Yes,8.34,8.24,7.91,8.23,8.66,8.68,8.74,8.11,8.36,76.3,2,3,4.0,4,1,67.2,9.47,,71.1,No,High,1,0
12588,Male,Kolkata,Tier2,IT,Embedded,Yes,No,6.98,7.36,6.91,6.96,7.54,7.38,6.94,7.17,7.16,72.7,1,2,1.0,2,0,67.7,6.29,62.4,58.8,Yes,Medium,1,0
12589,Male,Ahmedabad,Tier3,CS,AI,No,No,8.29,9.12,9.02,9.05,9.25,9.49,9.02,8.73,9.0,98.1,3,5,4.0,7,2,100.0,9.18,85.2,,Yes,Excellent,1,0
12590,Female,Chennai,Tier1,Mechanical,Embedded,No,No,6.03,6.77,6.7,6.5,6.68,6.58,6.93,7.01,6.65,66.5,0,1,0.0,0,0,50.1,5.36,53.2,53.3,No,Medium,0,0
12591,Female,Bangalore,Tier1,Mechanical,AI,No,Yes,7.85,7.52,7.27,7.35,7.04,7.16,8.05,7.22,7.43,78.0,2,2,,2,1,66.5,7.01,69.7,64.3,No,Medium,0,1
12592,Female,Bangalore,Tier1,Civil,AI,Yes,No,8.78,8.89,9.24,9.2,9.15,9.3,10.0,9.33,9.24,92.4,3,5,5.0,4,2,96.8,9.19,94.4,90.3,Yes,Excellent,1,0
12593,Female,Mumbai,Tier2,Mechanical,AI,Yes,No,7.42,7.63,8.36,7.45,7.17,6.83,7.28,7.22,7.42,76.6,2,2,,2,1,70.2,6.28,71.2,65.9,No,Medium,1,0
12594,Male,Pune,Tier3,ECE,AI,No,No,7.86,7.7,7.75,7.79,7.51,7.48,7.29,7.23,7.58,77.0,0,3,,4,0,59.7,7.44,71.6,81.1,No,High,1,0
12595,Female,Chennai,Tier1,IT,DataScience,Yes,No,7.04,6.93,7.18,6.7,6.79,7.47,7.64,6.75,7.06,65.6,1,3,,2,0,,6.43,52.9,62.8,No,Medium,1,0
12596,Female,Hyderabad,Tier3,Mechanical,Networking,Yes,No,6.6,7.01,6.41,6.73,6.6,6.4,7.39,6.98,6.76,59.7,1,0,1.0,1,0,50.7,4.67,49.5,51.0,Yes,Medium,0,0
12597,Female,Kolkata,Tier2,ECE,Networking,No,No,8.32,8.28,8.35,8.47,8.67,8.31,8.94,9.64,8.62,82.3,2,3,3.0,5,1,83.7,7.96,87.4,72.9,No,Excellent,1,0
12598,Male,Jaipur,Tier2,Civil,DataScience,Yes,No,6.98,6.57,6.6,6.59,6.78,7.34,6.59,7.46,6.86,61.8,2,2,2.0,1,0,62.2,5.48,50.5,58.1,No,Medium,0,0
12599,Female,Kolkata,Tier2,EE,DataScience,Yes,No,6.97,6.28,6.94,6.65,6.65,6.76,7.16,7.21,6.83,72.0,1,3,,2,0,,6.63,53.5,48.1,Yes,Medium,0,0
12600,Male,Hyderabad,Tier2,IT,AI,Yes,No,5.43,5.08,5.13,5.25,5.59,5.14,5.54,5.73,5.36,54.6,0,0,0.0,0,0,36.7,2.9,31.6,36.1,Yes,Low,0,0
12601,Female,Hyderabad,Tier2,IT,Embedded,No,No,5.45,6.18,6.4,7.2,6.65,6.33,6.57,7.05,6.48,62.2,0,3,0.0,0,0,47.2,5.49,31.9,55.0,No,Medium,0,0
12602,Female,Delhi,Tier3,Mechanical,DataScience,No,No,6.54,7.42,6.48,7.15,7.44,7.56,6.17,7.13,6.99,76.3,1,2,1.0,2,0,62.5,6.53,52.1,60.4,Yes,Medium,1,0
12603,Female,Kolkata,Tier1,Civil,Networking,Yes,No,8.72,8.32,7.93,9.03,9.02,9.1,8.67,8.67,8.68,100.0,3,4,4.0,5,1,92.8,7.99,89.2,88.6,No,Excellent,1,0
12604,Male,Delhi,Tier1,ECE,Embedded,No,No,5.21,4.99,5.13,4.93,4.76,5.26,4.99,4.64,4.99,54.8,0,0,0.0,0,0,19.7,2.74,9.6,28.2,No,Low,0,0
12605,Male,Jaipur,Tier2,IT,Networking,Yes,No,7.27,7.23,7.24,6.91,7.33,7.16,7.57,7.6,7.29,72.9,1,2,3.0,4,0,62.6,6.89,54.0,63.1,No,Medium,0,0
12606,Female,Ahmedabad,Tier2,CS,AI,Yes,Yes,7.56,6.76,7.67,7.18,7.16,7.06,7.27,6.48,7.14,68.0,1,2,0.0,4,0,73.5,6.14,64.6,61.6,Yes,Medium,0,0
12607,Female,Chennai,Tier1,EE,Embedded,Yes,No,7.04,7.85,7.03,7.36,7.32,7.14,7.41,7.38,7.32,76.4,0,2,,2,0,64.4,7.91,62.6,65.3,No,Medium,0,0
12608,Female,Ahmedabad,Tier2,CS,DataScience,Yes,Yes,7.33,7.61,6.61,7.28,7.09,6.64,7.16,7.4,7.14,71.5,2,1,1.0,3,0,72.0,6.73,54.7,71.1,No,Medium,1,0
12609,Male,Ahmedabad,Tier3,ECE,AI,No,No,7.26,8.08,7.65,7.88,7.5,7.94,8.18,8.06,7.82,96.5,1,3,3.0,2,1,81.6,6.94,,,No,High,1,0
12610,Female,Delhi,Tier2,ECE,Networking,Yes,No,6.37,6.6,6.63,6.37,6.03,6.39,6.84,6.95,6.52,69.0,1,2,1.0,1,0,63.8,4.77,49.4,55.3,No,Medium,0,0
12611,Female,Ahmedabad,Tier2,CS,AI,No,No,6.18,6.52,6.49,7.03,7.52,7.15,6.82,6.6,6.79,68.3,1,2,2.0,0,1,58.9,5.68,,47.0,No,Medium,0,0
12612,Male,Pune,Tier2,ECE,Networking,No,No,7.72,7.42,7.13,6.93,7.29,7.43,7.56,7.95,7.43,72.8,2,3,1.0,3,0,,5.93,59.7,59.0,No,Medium,1,0
12613,Male,Jaipur,Tier2,EE,AI,No,No,8.06,7.32,7.12,7.94,7.52,7.88,8.01,8.49,7.79,83.4,1,3,2.0,3,1,73.6,6.44,52.7,71.9,No,High,0,0
12614,Female,Bangalore,Tier2,EE,Embedded,No,No,8.87,8.97,8.37,8.69,8.19,9.0,8.9,8.93,8.74,91.6,2,4,3.0,3,2,74.4,7.58,77.1,92.4,Yes,Excellent,1,0
12615,Male,Kolkata,Tier2,CS,AI,No,No,6.91,7.15,7.03,7.1,7.69,7.51,7.65,7.61,7.33,63.1,1,2,3.0,2,0,64.5,6.96,,56.2,No,Medium,0,0
12616,Female,Ahmedabad,Tier2,CS,Embedded,No,No,7.44,7.32,7.22,7.52,7.54,7.78,8.04,8.14,7.62,73.9,1,4,,3,0,76.8,,,67.7,No,High,1,0
12617,Male,Mumbai,Tier3,EE,Embedded,Yes,No,7.76,7.3,7.23,7.28,7.45,7.41,7.3,7.1,7.35,73.2,2,3,3.0,1,1,64.8,7.56,69.0,62.6,Yes,Medium,0,0
12618,Male,Bangalore,Tier2,ECE,Networking,No,No,5.35,5.37,5.43,5.36,5.6,5.74,6.05,5.53,5.55,47.0,0,0,0.0,0,0,39.5,3.67,24.8,40.1,No,Low,0,0
12619,Male,Bangalore,Tier2,CS,DataScience,No,No,7.04,7.16,6.69,7.17,7.29,7.11,7.1,7.23,7.1,73.7,1,3,,3,0,57.5,6.39,64.4,67.4,No,Medium,0,0
12620,Female,Mumbai,Tier1,IT,AI,No,Yes,8.52,7.67,8.8,8.25,8.69,8.14,8.37,8.23,8.33,83.9,2,5,4.0,5,1,75.1,7.57,84.8,78.0,No,High,1,0
12621,Female,Jaipur,Tier1,EE,Networking,No,No,7.56,7.65,8.39,8.34,7.56,8.05,7.71,7.57,7.85,74.4,1,3,1.0,1,0,68.9,7.87,73.2,,No,High,0,0
12622,Female,Ahmedabad,Tier1,CS,Networking,Yes,No,7.16,6.99,6.82,7.35,6.91,7.19,7.33,6.69,7.06,66.4,1,2,1.0,1,0,,5.74,49.4,49.3,No,Medium,0,0
12623,Female,Chennai,Tier2,ECE,Networking,Yes,No,6.39,6.54,6.97,6.79,6.97,6.58,6.27,6.66,6.65,67.9,1,1,1.0,0,0,48.8,5.39,54.4,57.1,Yes,Medium,0,0
12624,Female,Bangalore,Tier2,IT,Embedded,No,No,7.67,8.05,7.51,7.66,7.14,7.89,7.58,8.14,7.7,75.6,2,3,2.0,2,0,77.3,7.39,58.5,66.6,Yes,High,1,0
12625,Female,Delhi,Tier1,CS,Embedded,No,No,6.1,6.57,6.3,6.02,5.88,5.96,6.98,6.48,6.29,66.5,1,2,1.0,1,0,46.4,5.61,41.1,51.1,No,Medium,0,1
12626,Female,Pune,Tier2,CS,Networking,No,No,7.4,7.28,7.66,8.05,7.74,8.09,7.92,7.68,7.73,79.2,2,3,3.0,4,0,74.9,,,68.8,Yes,High,0,0
12627,Male,Jaipur,Tier3,ECE,Networking,No,Yes,7.97,8.0,8.37,8.52,8.18,8.28,7.25,8.22,8.1,92.5,3,3,3.0,3,1,86.7,8.02,79.5,73.7,No,High,1,0
12628,Male,Kolkata,Tier2,ECE,AI,No,Yes,8.02,8.74,8.9,8.28,8.81,8.41,8.92,7.96,8.5,76.4,1,6,,4,2,78.0,9.21,65.4,78.1,No,High,1,0
12629,Male,Delhi,Tier2,EE,Networking,No,No,7.69,7.79,8.18,7.86,7.32,8.19,7.48,8.27,7.85,79.7,2,4,2.0,4,1,74.2,8.37,63.1,75.1,Yes,High,1,0
12630,Female,Hyderabad,Tier3,IT,Embedded,Yes,No,9.79,9.01,9.37,9.58,9.25,9.0,9.74,9.72,9.43,93.3,3,5,4.0,6,2,,,87.0,,Yes,Excellent,1,0
12631,Male,Pune,Tier1,ECE,AI,Yes,Yes,7.7,8.17,8.09,7.84,7.12,8.09,8.32,7.98,7.91,78.5,1,3,3.0,1,1,79.3,7.87,79.4,69.0,No,High,1,1
12632,Female,Jaipur,Tier2,CS,AI,Yes,Yes,6.63,7.34,7.53,7.27,7.11,7.76,7.27,7.62,7.32,62.7,2,2,,2,0,66.9,5.36,59.4,,No,Medium,1,0
12633,Female,Delhi,Tier2,Mechanical,Networking,No,No,7.33,7.67,7.19,7.77,7.48,8.17,7.51,7.63,7.59,78.6,2,2,2.0,2,0,71.7,7.32,64.0,67.6,No,High,0,0
12634,Male,Bangalore,Tier2,EE,AI,No,No,5.61,5.91,5.98,5.91,6.58,6.79,6.67,6.8,6.28,62.6,1,1,1.0,2,0,56.0,5.21,50.1,45.7,No,Medium,0,0
12635,Male,Mumbai,Tier3,EE,Embedded,Yes,Yes,8.29,6.91,8.01,8.24,8.36,7.91,7.71,7.78,7.9,85.5,1,4,2.0,4,1,70.8,7.89,61.4,77.8,Yes,High,0,0
12636,Female,Delhi,Tier2,IT,DataScience,No,No,7.88,6.69,7.3,7.32,8.14,7.19,7.15,8.38,7.51,86.4,1,4,1.0,3,0,62.8,6.35,,61.7,No,High,1,0
12637,Male,Pune,Tier1,EE,Networking,Yes,No,6.96,6.76,7.51,7.15,8.11,7.28,7.58,7.55,7.36,69.0,1,1,2.0,2,1,,7.05,63.9,69.3,No,Medium,1,0
12638,Female,Hyderabad,Tier2,CS,Networking,No,Yes,6.79,6.42,6.13,6.03,6.47,6.51,6.36,5.99,6.34,58.9,0,2,0.0,2,0,,4.78,36.1,44.8,Yes,Medium,0,0
12639,Male,Chennai,Tier2,IT,AI,No,Yes,7.88,8.31,7.35,7.58,7.58,7.72,7.66,7.94,7.75,81.2,2,3,3.0,3,1,84.9,6.86,67.5,71.5,No,High,1,0
12640,Male,Kolkata,Tier1,CS,Embedded,No,No,5.96,5.79,6.31,5.25,5.32,5.59,5.95,5.98,5.77,49.8,0,0,0.0,0,0,45.0,3.94,30.8,43.4,No,Low,0,0
12641,Male,Mumbai,Tier1,EE,DataScience,Yes,Yes,7.41,8.15,7.56,7.73,7.54,7.32,8.07,8.0,7.72,82.9,2,4,3.0,2,1,70.6,6.65,58.5,69.6,Yes,High,1,0
12642,Male,Ahmedabad,Tier3,IT,Embedded,No,No,8.63,8.23,7.86,8.16,8.68,8.45,8.26,7.56,8.23,81.2,1,4,4.0,3,1,86.5,8.14,74.3,72.9,No,High,0,0
12643,Male,Bangalore,Tier3,IT,Embedded,No,No,8.56,7.78,7.96,8.3,8.82,8.36,8.11,9.39,8.41,79.2,2,3,3.0,2,1,79.2,8.68,68.6,85.6,Yes,High,1,0
12644,Male,Chennai,Tier2,ECE,Networking,Yes,No,6.63,6.68,6.62,7.66,6.5,7.04,6.51,6.76,6.8,71.1,0,2,2.0,0,1,62.1,5.74,48.5,48.6,No,Medium,0,0
12645,Male,Delhi,Tier2,Mechanical,AI,No,No,6.41,6.28,6.11,5.71,5.95,6.25,6.41,6.18,6.16,68.6,0,1,1.0,0,0,47.4,5.75,42.6,,No,Medium,0,0
12646,Female,Ahmedabad,Tier3,Civil,Embedded,No,Yes,8.04,8.05,8.24,8.89,8.59,8.22,8.53,8.83,8.42,79.1,3,4,2.0,3,1,,8.54,79.5,73.1,Yes,High,1,0
12647,Male,Bangalore,Tier2,Mechanical,Networking,No,No,6.64,7.17,7.35,7.25,6.74,8.0,7.78,7.35,7.28,70.2,1,1,3.0,3,0,,5.63,69.4,,Yes,Medium,0,0
12648,Male,Mumbai,Tier2,ECE,DataScience,No,Yes,7.97,8.41,7.89,8.13,7.84,7.58,7.82,8.73,8.05,78.5,2,2,2.0,4,0,,8.18,75.3,76.6,Yes,High,1,0
12649,Male,Kolkata,Tier2,Civil,Networking,No,No,6.83,6.4,6.86,5.86,6.73,6.31,6.79,6.7,6.56,69.4,0,2,0.0,3,0,59.3,5.91,55.9,56.3,Yes,Medium,0,0
12650,Male,Hyderabad,Tier2,ECE,DataScience,No,No,6.6,6.44,6.9,6.85,7.51,7.24,7.14,7.12,6.98,71.4,1,2,2.0,3,0,53.0,5.3,47.3,53.4,No,Medium,0,0
